UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
modulename_menu;Contact form submits;Contact form submits
overview_column_ticketid;Ticket #;Ticket #
overview_column_dtRecordCreated;Date;Date
overview_column_iSpamLikelyHood;Spam %;Spam %
overview_column_iSpamMarkedManually;Spam;Spam
overview_column_sCategoryName;Category;Category
overview_column_sNE;Sender;Sender
overview_column_sEAE;Email;Email
overview_column_sTopic;Topic;Topic
tab_title_submissions_nospam;Contact form submissions;Contact form submissions
tabsheets_module_name_Submissions;Submissions;Submissions
tabsheets_module_explanation_View submitted forms;View submitted forms;View submitted forms
tabsheets_module_name_Categories;Categories;Categories
tabsheets_module_explanation_Manage contact form categories;Manage contact form categories;Manage contact form categories
Mod_ContactForm;Contact form submits;Contact form submits

modulename_menu;Contact form submits;Contact form submits
Mod_ContactForm;Contact form submits;Contact form submits
