UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
list_productcategories_column_iID;ID;ID
list_productcategories_column_sName;Name;Name
list_productcategories_column_sURLSlug;Slug;Slug
list_productcategories_column_bIsDefault;Default;Default
list_productcategories_column_bIsFavorite;Favorite;Favorite
list_products_column_dtRecordCreated;Created;Created
list_products_column_dtRecordChanged;Changed;Changed
dbfilter_column_sName;Name;Name
tab_title_productcategories;Product categories;Product categories
tabsheets_module_name_Transactions;Transactions;Transactions
tabsheets_module_explanation_Manage all invoices and orders;Manage all invoices and orders;Manage all invoices and orders
tabsheets_module_name_Trans. Types;Trans. Types;Trans. Types
tabsheets_module_explanation_Manage types of transactions;Manage types of transactions;Manage types of transactions
tabsheets_module_name_VAT;VAT;VAT
tabsheets_module_explanation_Manage VAT classes;Manage VAT classes;Manage VAT classes
tabsheets_module_name_Products;Products;Products
tabsheets_module_explanation_Manage products.<br><br>A product can have 1 or more SKU's (Stock Keeping Units).<br>The SKU's of a Tiger T-shirt could be:<ul><li>black L</li><li>black M</li><li>black S</li><li>green L</li><li>green M</li><li>green S</li></ul>;Manage products.<br><br>A product can have 1 or more SKU's (Stock Keeping Units).<br>The SKU's of a Tiger T-shirt could be:<ul><li>black L</li><li>black M</li><li>black S</li><li>green L</li><li>green M</li><li>green S</li></ul>;Manage products.<br><br>A product can have 1 or more SKU's (Stock Keeping Units).<br>The SKU's of a Tiger T-shirt could be:<ul><li>black L</li><li>black M</li><li>black S</li><li>green L</li><li>green M</li><li>green S</li></ul>
tabsheets_module_name_Categories;Categories;Categories
tabsheets_module_explanation_Make a structure to find your products more easily.<br>You can drag and drop a category into another to create a hierarchical structure.;Make a structure to find your products more easily.<br>You can drag and drop a category into another to create a hierarchical structure.;Make a structure to find your products more easily.<br>You can drag and drop a category into another to create a hierarchical structure.
list_vatclasses_column_sName;Name;Name
list_vatclasses_column_sDescription;Description;Description
list_vatclasses_column_bIsDefault;Default;Default
list_vatclasses_column_iPosition;Order;Order
