UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
modulename_menu;Page builder;Page builder
pagebuilder_detailpanel_tabdocument_description_nameinternal;Name (internal reference);Name (internal reference)
pagebuilder_detailpanel_tabdocument_description_htmltitle;HTML Title;HTML Title
pagebuilder_detailpanel_tabdocument_description_language;Language;Language
pagebuilder_detailpanel_tabdocument_description_urlslug;URL slug;URL slug
pagebuilder_detailpanel_tabdocument_description_website;Website;Website
pagebuilder_detailpanel_tabdocument_description_author;Author;Author
pagebuilder_detailpanel_tabdocument_description_needswork;Needs work;Needs work
pagebuilder_detailpanel_tabdocument_description_status;Status;Status
pagebuilder_detailpanel_tabdocument_description_metadescription;Short excerpt;Short excerpt
pagebuilder_detailpanel_tabdocument_description_publishdate;Publish date;Publish date
pagebuilder_detailpanel_tabdocument_description_visibility;Visibility (after pub.dat.);Visibility (after pub.dat.)
pagebuilder_detailpanel_tabdocument_description_password;Password (empty = none);Password (empty = none)
pagebuilder_detailpanel_tabdocument_description_canonicalurl;Canonical (start w https://);Canonical (start w https://)
pagebuilder_detailpanel_tabdocument_description_301redirecturl;301 redirect (start w https://);301 redirect (start w https://)
pagebuilder_detailpanel_tabdocument_description_notesinternal;Notes (internal);Notes (internal)
pagetitle_detailsave_languages_edit;Edit document: [doc];Edit document: [doc]
detailsave_message_save_sucess_message;Your record was saved with id: ;Your record was saved with id: 
pagebuilder_tab_details_label_widthheight;Sizing;Sizing
pagebuilder_tab_details_label_width;Width (px);Width (px)
pagebuilder_tab_details_label_height;Height (px);Height (px)
pagebuilder_tab_details_label_maxwidth;Max Width (px);Max Width (px)
pagebuilder_tab_details_label_maxheight;Max Height (px);Max Height (px)
pagebuilder_tab_details_label_padding;Padding (px);Padding (px)
pagebuilder_tab_details_label_paddingtop;Top;Top
pagebuilder_tab_details_label_paddingright;Right;Right
pagebuilder_tab_details_label_paddingbottom;Bottom;Bottom
pagebuilder_tab_details_label_paddingleft;Left;Left
pagebuilder_tab_details_label_margin;Margin (px);Margin (px)
pagebuilder_tab_details_label_margintop;Top;Top
pagebuilder_tab_details_label_marginright;Right;Right
