UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
languages_form_field_locale;Locale code (format: AA-AA);Locale code (format: AA-AA)
languages_form_field_language;Language name (in English);Language name (in English)
languages_form_FIELD_ISADMINLANGUAGE;is Admin Panel language (makes Admin Panel available in this language, and thus creates language files);is Admin Panel language (makes Admin Panel available in this language, and thus creates language files)
languages_form_field_isfavorite;is favorite (only favorites are shown in User Interface elements where not all languages are shown, prevents having 400 languages to scroll through);is favorite (only favorites are shown in User Interface elements where not all languages are shown, prevents having 400 languages to scroll through)
languages_form_field_isdefaultsystem;Is application default (application assumes this language by default, only 1 language can be default);Is application default (application assumes this language by default, only 1 language can be default)
languages_overview_column_sLanguage;Language;Language
languages_overview_column_sLocale;Locale;Locale
languages_overview_column_bIsAdminLanguage;CMS lang;CMS lang
languages_overview_column_bIsFavorite;Favorite;Favorite
languages_overview_column_bIsDefault;Default;Default
modulename_title_languages;All system languages;All system languages
tabsheets_module_name_Languages;Languages;Languages
tabsheets_module_explanation_manage all available languages;manage all available languages;manage all available languages
tabsheets_module_name_languages per website;languages per website;languages per website
tabsheets_module_explanation_manage language that are available on a website;manage language that are available on a website;manage language that are available on a website
tabsheets_module_name_Countries;Countries;Countries
tabsheets_module_explanation_manage all available countries;manage all available countries;manage all available countries
tabsheets_module_name_Currencies;Currencies;Currencies
tabsheets_module_explanation_manage all available currencies;manage all available currencies;manage all available currencies
form_notification_defaultlocale_cantchangelocale;This is the default locale of the system, you cant change the locale itself;This is the default locale of the system, you cant change the locale itself
pagetitle_detailsave_languages_edit;Edit language: [language];Edit language: [language]
detailsave_button_exit;Exit;Exit
detailsavetemplate_button_save;Save;Save
detailsave_message_save_sucess_message;Your record was saved with id: ;Your record was saved with id: 
menuitem_modulename;Localisation;Localisation
overview_column_sWebsiteName;website;website
overview_column_sLanguage;language;language
overview_column_sLocale;locale;locale
modulename_title_languagespersite;Languages on sites;Languages on sites
countries_overview_column_sCountryName;Country;Country
countries_overview_column_iCountryCodePhone;Phone;Phone
countries_overview_column_sISO2;ISO 2;ISO 2
countries_overview_column_sISO3;ISO 3;ISO 3
countries_overview_column_bIsEEA;In EU;In EU
countries_overview_column_bIsDefault;Default;Default
countries_overview_column_bIsFavorite;Favorite;Favorite
countries_overview_column_bIsUnknown;Unknown;Unknown
modulename_title_countries;All system Countries;All system Countries
currencies_overview_column_sCurrencyName;Currency;Currency
currencies_overview_column_sCurrencySymbol;Symbol;Symbol
currencies_overview_column_sISOAlphabetic;ISO A;ISO A
currencies_overview_column_iISONumeric;ISO N;ISO N
currencies_overview_column_iDecimalPrecision;Dec;Dec
currencies_overview_column_bIsFavorite;Favorite;Favorite
currencies_overview_column_bIsDefault;Default;Default
currencies_overview_column_iPosition;Order;Order
modulename_title_currencies;All system currencies;All system currencies
